epoch,loss
0,1.9319043159484863
1,1.5867058038711548
2,1.5050071477890015
3,1.4602071046829224
4,1.4315539598464966
5,1.4114981889724731
6,1.3947796821594238
7,1.3820781707763672
8,1.3727154731750488
9,1.3630598783493042
0,1.9091148376464844
1,1.5742583274841309
2,1.496323823928833
3,1.4551256895065308
4,1.42817223072052
5,1.4085023403167725
6,1.3929316997528076
7,1.3802779912948608
8,1.3707736730575562
9,1.3632538318634033
0,1.940429449081421
1,1.584944725036621
2,1.501004934310913
3,1.4564369916915894
4,1.428939700126648
5,1.4066822528839111
6,1.3905925750732422
7,1.3781756162643433
8,1.36802339553833
9,1.357723355293274
0,2.211890459060669
1,1.774000883102417
2,1.6289973258972168
3,1.5469270944595337
4,1.49184250831604
5,1.4475339651107788
6,1.4135149717330933
7,1.3837664127349854
8,1.3605273962020874
9,1.3419831991195679
